activity_comment,assay_description,canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value,pActivity,is_inhibitor,molecular_weight,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,qed_weighted,cx_most_apka,cx_most_bpka,cx_logp,cx_logd,aromatic_rings,heavy_atoms,num_alerts
,Inhibition of human PDGF receptor phosphorylation; 0.1-0.8,COc1cc2cc(-c3cccnc3)cnc2cc1OC,CHEMBL304668,6.1,IC50,nM,800.0,IC50,uM,0.8,6.1,1,266.3,3.31,4,0,44.24,3,N,0,0.73,,4.9,2.25,2.24,3,20,
,Inhibition of human PDGF receptor phosphorylation; 0.1-0.4,COc1ccc(-c2cnc3cc(OC)c(OC)cc3c2)cc1C,CHEMBL66925,6.4,IC50,nM,400.0,IC50,uM,0.4,6.4,1,309.37,4.24,4,0,40.58,4,N,0,0.72,,4.67,3.82,3.82,3,23,
,Inhibition of human PDGF receptor phosphorylation; 0.7-5,COc1cc2cc(-c3ccc(C(=O)O)cc3)cnc2cc1OC,CHEMBL66868,5.3,IC50,nM,5000.0,IC50,uM,5.0,5.3,0,309.32,3.62,4,1,68.65,4,N,0,0.8,3.91,4.75,2.22,0.01,3,23,
,Inhibition of human PDGF receptor phosphorylation; 0.001-0.015,COc1ccc(-c2cnc3cc(OC)c(OC)cc3c2)cc1,CHEMBL70130,7.82,IC50,nM,15.0,IC50,uM,0.015,7.82,1,295.34,3.93,4,0,40.58,4,N,0,0.73,,4.67,3.31,3.3,3,22,
,Inhibition of human PDGF receptor phosphorylation; 20-30,COc1cc2cccnc2cc1OC,CHEMBL66705,4.52,IC50,nM,30000.0,IC50,uM,30.0,4.52,0,189.21,2.25,3,0,31.35,2,Y,0,0.73,,5.11,1.82,1.81,2,14,
,Inhibition of human PDGF receptor phosphorylation; 0.004-0.025,Fc1ccc2cc(-c3ccsc3)cnc2c1,CHEMBL307093,7.6,IC50,nM,25.0,IC50,uM,0.025,7.6,1,229.28,4.1,2,0,12.89,1,N,0,0.61,,3.43,3.7,3.7,3,16,
,Inhibition of human PDGF receptor phosphorylation; 0.04-0.08,COc1cc2cc(-c3cccs3)cnc2cc1OC,CHEMBL304336,7.1,IC50,nM,80.0,IC50,uM,0.08,7.1,1,271.34,3.98,4,0,31.35,3,N,0,0.72,,4.38,3.24,3.24,3,19,
,Inhibition of human PDGF receptor phosphorylation; 0.002-0.06,COc1ccc2cc(-c3ccsc3)cnc2c1,CHEMBL68185,7.22,IC50,nM,60.0,IC50,uM,0.06,7.22,1,241.32,3.97,3,0,22.12,2,N,0,0.68,,4.34,3.4,3.4,3,17,
,Inhibition of isolated human PDGF receptor phosphorylation,Fc1cccc2ncc(-c3ccsc3)cc12,CHEMBL305056,7.7,IC50,nM,20.0,IC50,uM,0.02,7.7,1,229.28,4.1,2,0,12.89,1,N,0,0.61,,3.6,3.7,3.7,3,16,
,Inhibition of human PDGF receptor phosphorylation; 2-10,COc1ccc(-c2cnc3cc(OC)c(OC)cc3c2)cc1OC,CHEMBL66100,5.0,IC50,nM,10000.0,IC50,uM,10.0,5.0,0,325.36,3.94,5,0,49.81,5,N,0,0.71,,4.65,3.15,3.15,3,24,
,Inhibition of human PDGF receptor phosphorylation; 0.02-0.03,COc1cc2cc(-c3ccc(O)cc3)cnc2cc1OC,CHEMBL303704,7.52,IC50,nM,30.0,IC50,uM,0.03,7.52,1,281.31,3.62,4,1,51.58,3,N,0,0.8,9.8,4.67,3.16,3.16,3,21,
,Inhibition of human PDGF receptor phosphorylation; 0.2-0.8,COc1ccc(CCc2cnc3cc(OC)c(OC)cc3c2)cc1,CHEMBL66787,6.1,IC50,nM,800.0,IC50,uM,0.8,6.1,1,323.39,4.05,4,0,40.58,6,N,0,0.69,,5.44,4.19,4.19,3,24,
,Inhibition of human PDGF receptor phosphorylation; 0.2-0.6,c1cc(-c2cnc3cc4c(cc3c2)OCO4)cs1,CHEMBL69378,6.22,IC50,nM,600.0,IC50,uM,0.6,6.22,1,255.3,3.69,4,0,31.35,1,N,0,0.66,,4.39,3.18,3.18,3,18,
,Inhibition of isolated human PDGF receptor phosphorylation,COc1cc2cc(-c3sccc3Cl)cnc2cc1OC,CHEMBL306234,6.0,IC50,nM,1000.0,IC50,uM,1.0,6.0,1,305.79,4.63,4,0,31.35,3,N,0,0.71,,3.5,3.84,3.84,3,20,
,Inhibition of human PDGF receptor phosphorylation; 2-4,Fc1cc2cc(-c3ccsc3)cnc2cc1F,CHEMBL68184,5.4,IC50,nM,4000.0,IC50,uM,4.0,5.4,0,247.27,4.24,2,0,12.89,1,N,0,0.63,,2.76,3.84,3.84,3,17,
,Inhibition of human PDGF receptor phosphorylation; 0.5-2,COc1cc2cc(-c3ccc(C)cc3)cnc2cc1OC,CHEMBL67219,5.7,IC50,nM,2000.0,IC50,uM,2.0,5.7,0,279.34,4.23,3,0,31.35,3,N,0,0.72,,4.66,3.98,3.98,3,21,
,Inhibition of human PDGF receptor phosphorylation; 0.15-0.5,COc1cc2cc(-c3ccc(OC)c([N+](=O)[O-])c3)cnc2cc1OC,CHEMBL67170,6.3,IC50,nM,500.0,IC50,uM,0.5,6.3,1,340.34,3.84,6,0,83.72,5,N,0,0.52,,4.63,3.25,3.24,3,25,
,Inhibition of human PDGF receptor phosphorylation; 1-2,COc1cccc(-c2cnc3cc(OC)c(OC)cc3c2)c1,CHEMBL308466,5.7,IC50,nM,2000.0,IC50,uM,2.0,5.7,0,295.34,3.93,4,0,40.58,4,N,0,0.73,,4.64,3.31,3.3,3,22,
,Inhibition of human PDGF receptor phosphorylation; 0.02-0.05,COc1cc2cc(C#Cc3ccccc3)cnc2cc1OC,CHEMBL67059,7.3,IC50,nM,50.0,IC50,uM,0.05,7.3,1,289.33,3.65,3,0,31.35,2,N,0,0.67,,2.89,3.94,3.94,3,22,
,Inhibition of human PDGF receptor phosphorylation; 0.1-0.5,COc1cc2cc(C3CCCC3)cnc2cc1OC,CHEMBL66785,6.3,IC50,nM,500.0,IC50,uM,0.5,6.3,1,257.33,3.91,3,0,31.35,3,N,0,0.84,,5.39,3.49,3.48,2,19,
,Inhibition of human PDGF receptor phosphorylation; 0.05-0.07,COc1ccc2ncc(-c3ccsc3)cc2c1,CHEMBL303184,7.16,IC50,nM,70.0,IC50,uM,0.07,7.16,1,241.31,3.97,3,0,22.12,2,N,0,0.68,,4.14,3.4,3.4,3,17,
,Inhibition of human PDGF receptor phosphorylation; 0.3-0.5,COc1cc2cc(CCC3CCCCC3)cnc2cc1OC,CHEMBL66786,6.3,IC50,nM,500.0,IC50,uM,0.5,6.3,1,299.41,4.76,3,0,31.35,5,N,0,0.8,,5.45,4.82,4.82,2,22,
,Inhibition of human PDGF receptor phosphorylation; 0.1-0.25,COc1ccc(-c2cnc3cc(OC)c(OC)cc3c2)s1,CHEMBL302745,6.6,IC50,nM,250.0,IC50,uM,0.25,6.6,1,301.37,3.99,5,0,40.58,4,N,0,0.73,,4.38,3.25,3.25,3,21,
,Inhibition of human PDGF receptor phosphorylation; 0.001-0.005,COc1cc2cc(/C=C/c3ccccc3)cnc2cc1OC,CHEMBL70149,8.3,IC50,nM,5.0,IC50,uM,0.005,8.3,1,291.35,4.42,3,0,31.35,4,N,0,0.71,,4.8,4.16,4.15,3,22,
,Inhibition of human PDGF receptor phosphorylation; 6-10,Oc1cc2cc(-c3cccnc3)cnc2cc1O,CHEMBL63356,5.0,IC50,nM,10000.0,IC50,uM,10.0,5.0,0,238.25,2.71,4,2,66.24,1,N,0,0.64,8.01,4.93,1.95,1.85,3,18,
,Inhibition of human PDGF receptor phosphorylation; 0.02-0.08,COc1cc2cc(NCc3ccccc3)cnc2cc1OC,CHEMBL65850,7.1,IC50,nM,80.0,IC50,uM,0.08,7.1,1,294.35,3.86,4,1,43.38,5,N,0,0.78,,5.22,3.01,3.01,3,22,
,Inhibition of human PDGF receptor phosphorylation; 0.025-0.03,COc1cc(OC)c2cc(-c3ccsc3)cnc2c1,CHEMBL66071,7.52,IC50,nM,30.0,IC50,uM,0.03,7.52,1,271.34,3.98,4,0,31.35,3,N,0,0.72,,4.89,3.24,3.24,3,19,
,Inhibition of human PDGF receptor phosphorylation; 0.02-0.04,COc1cc2cc(C3=CCCC3)cnc2cc1OC,CHEMBL66618,7.4,IC50,nM,40.0,IC50,uM,0.04,7.4,1,255.32,3.82,3,0,31.35,3,N,0,0.84,,4.76,3.22,3.22,2,19,
,Inhibition of human PDGF receptor phosphorylation; 0.5-3,COc1ccc(/C=C(\C#N)c2cccnc2)cc1OC,CHEMBL67027,5.52,IC50,nM,3000.0,IC50,uM,3.0,5.52,0,266.3,3.16,4,0,55.14,4,N,0,0.8,,4.36,2.5,2.5,2,20,
,Inhibition of human PDGF receptor phosphorylation; 0.015-0.025,COc1cc2cc(-c3cccc(F)c3)cnc2cc1OC,CHEMBL302491,7.6,IC50,nM,25.0,IC50,uM,0.025,7.6,1,283.3,4.06,3,0,31.35,3,N,0,0.73,,4.63,3.61,3.6,3,21,
,Inhibition of human PDGF receptor phosphorylation; 0.1-0.2,CCOC(=O)c1ccc(-c2cnc3cc(OC)c(OC)cc3c2)cc1,CHEMBL67169,6.7,IC50,nM,200.0,IC50,uM,0.2,6.7,1,337.38,4.1,5,0,57.65,5,N,0,0.66,,4.63,3.82,3.82,3,25,
,Inhibition of human PDGF receptor phosphorylation; 0.001-0.005,Cc1cc(C)c2cc(-c3ccsc3)cnc2c1,CHEMBL304333,8.3,IC50,nM,5.0,IC50,uM,0.005,8.3,1,239.34,4.58,2,0,12.89,1,N,0,0.61,,4.8,4.59,4.58,3,17,
,Inhibition of human PDGF receptor phosphorylation; 0.2-0.4,COc1cc2cc(-c3cc(F)c(OC)c(F)c3)cnc2cc1OC,CHEMBL66924,6.4,IC50,nM,400.0,IC50,uM,0.4,6.4,1,331.32,4.21,4,0,40.58,4,N,0,0.72,,4.63,3.59,3.59,3,24,
,Inhibition of isolated human PDGF receptor phosphorylation,COc1cc2cc(-c3ccccc3OC)cnc2cc1OC,CHEMBL419248,5.7,IC50,nM,2000.0,IC50,uM,2.0,5.7,0,295.34,3.93,4,0,40.58,4,N,0,0.73,,4.52,3.31,3.3,3,22,
,Inhibition of human PDGF receptor phosphorylation; 0.04-0.07,COc1cc2cc(OCc3ccccc3)cnc2cc1OC,CHEMBL66932,7.16,IC50,nM,70.0,IC50,uM,0.07,7.16,1,295.34,3.83,4,0,40.58,5,N,0,0.72,,4.52,3.38,3.38,3,22,
,Inhibition of human PDGF receptor phosphorylation; 0.07-0.15,COc1cc2cc(-c3ccccc3)cnc2cc1OC,CHEMBL66063,6.82,IC50,nM,150.0,IC50,uM,0.15,6.82,1,265.31,3.92,3,0,31.35,3,N,0,0.72,,4.65,3.46,3.46,3,20,
,Inhibition of human PDGF receptor phosphorylation; 0.007-0.03,COc1cc2cc(-c3ccc(Cl)s3)cnc2cc1OC,CHEMBL69820,7.52,IC50,nM,30.0,IC50,uM,0.03,7.52,1,305.79,4.63,4,0,31.35,3,N,0,0.71,,4.38,4.01,4.01,3,20,
,Inhibition of human PDGF receptor phosphorylation; 0.01-0.02,COc1cc2cc(-c3ccsc3)cnc2cc1OC,CHEMBL66643,7.7,IC50,nM,20.0,IC50,uM,0.02,7.7,1,271.34,3.98,4,0,31.35,3,N,0,0.72,,4.59,3.24,3.24,3,19,
,Inhibition of human PDGF receptor phosphorylation; 0.015-0.03,COc1cc2cc(-c3ccc(O)nc3)cnc2cc1OC,CHEMBL66981,7.52,IC50,nM,30.0,IC50,uM,0.03,7.52,1,282.3,3.02,5,1,64.47,3,N,0,0.8,11.61,4.58,2.54,2.54,3,21,
,Inhibition of human PDGF receptor phosphorylation; 0.09-0.2,COc1cc2cc(-c3ccc(F)c(F)c3)cnc2cc1OC,CHEMBL67424,6.7,IC50,nM,200.0,IC50,uM,0.2,6.7,1,301.29,4.2,3,0,31.35,3,N,0,0.73,,4.64,3.75,3.75,3,22,
,Inhibition of human PDGF receptor phosphorylation; 0.035-0.06,COc1cc2cc(-c3ccc(F)cc3)cnc2cc1OC,CHEMBL68401,7.22,IC50,nM,60.0,IC50,uM,0.06,7.22,1,283.3,4.06,3,0,31.35,3,N,0,0.73,,4.66,3.61,3.6,3,21,
,Inhibition of human PDGF receptor phosphorylation; 0.008-0.07,COc1ccc(-c2cnc3cc(OC)c(OC)cc3c2)cn1,CHEMBL66612,7.16,IC50,nM,70.0,IC50,uM,0.07,7.16,1,296.33,3.32,5,0,53.47,4,N,0,0.74,,4.58,2.68,2.68,3,22,
,Inhibition of isolated human PDGF receptor phosphorylation,COc1cc2cc(-c3ccc(N(C)C)cc3)cnc2cc1OC,CHEMBL66502,5.0,IC50,nM,10000.0,IC50,uM,10.0,5.0,0,308.38,3.99,4,0,34.59,4,N,0,0.73,,4.99,3.57,3.57,3,23,
,Inhibition of human PDGF receptor phosphorylation; 0.03-0.1,COc1ccc(/C=C/c2cnc3cc(OC)c(OC)cc3c2)cc1,CHEMBL66101,7.0,IC50,nM,100.0,IC50,uM,0.1,7.0,1,321.38,4.43,4,0,40.58,5,N,0,0.7,,4.8,4.0,4.0,3,24,
,Inhibition of human PDGF receptor phosphorylation; 1-7,COc1cc2cc(-c3ccc(Cl)c(Cl)c3)cnc2cc1OC,CHEMBL67702,5.16,IC50,nM,7000.0,IC50,uM,7.0,5.16,0,334.2,5.23,3,0,31.35,3,N,1,0.66,,4.64,4.67,4.67,3,22,
,Inhibition of human PDGF receptor phosphorylation; 0.2-0.25,c1ccc2ncc(-c3ccsc3)cc2c1,CHEMBL304310,6.6,IC50,nM,250.0,IC50,uM,0.25,6.6,1,211.29,3.96,2,0,12.89,1,N,0,0.59,,3.99,3.56,3.56,3,15,
,Inhibition of human PDGF receptor phosphorylation; 0.1-0.2,C(=C/c1cnc2ccccc2c1)\c1ccccc1,CHEMBL65858,6.7,IC50,nM,200.0,IC50,uM,0.2,6.7,1,231.3,4.41,1,0,12.89,2,N,0,0.64,,4.2,4.47,4.47,3,18,
,Inhibition of human PDGF receptor phosphorylation; 0.003-0.005,COc1ccc(-c2cnc3cc(OC)c(OC)cc3c2)cc1F,CHEMBL67436,8.3,IC50,nM,5.0,IC50,uM,0.005,8.3,1,313.33,4.07,4,0,40.58,4,N,0,0.73,,4.65,3.45,3.45,3,23,
,Inhibition of human PDGF receptor phosphorylation; 0.1-0.6,COc1cc2cc(-c3c[nH]c4ccccc34)cnc2cc1OC,CHEMBL302545,6.22,IC50,nM,600.0,IC50,uM,0.6,6.22,1,304.35,4.4,3,1,47.14,3,N,0,0.61,,4.54,3.56,3.56,4,23,
,Inhibition of human PDGF receptor phosphorylation; 2-8,c1ccc2ncc(-c3c[nH]c4ccccc34)cc2c1,CHEMBL309116,5.1,IC50,nM,8000.0,IC50,uM,8.0,5.1,0,244.3,4.38,1,1,28.68,1,N,0,0.53,,3.94,3.88,3.88,4,19,
,,CC(=O)NC1=CC=C(C=C1)O,CONTROL_PARACETAMOL,,control,,,,,,,0,151.165,1.3505999999999998,,,,,,,,,,,,,,
,,CC(=O)OC1=CC=CC=C1C(=O)O,CONTROL_ASPIRIN,,control,,,,,,,0,180.15899999999996,1.3101,,,,,,,,,,,,,,
,,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,CONTROL_CAFFEINE,,control,,,,,,,0,194.194,-1.0293,,,,,,,,,,,,,,
,,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,CONTROL_GLUCOSE,,control,,,,,,,0,180.156,-3.2213999999999987,,,,,,,,,,,,,,
,,CCO,CONTROL_ETHANOL,,control,,,,,,,0,46.069,-0.0014000000000000123,,,,,,,,,,,,,,
,,CO,CONTROL_METHANOL,,control,,,,,,,0,32.042,-0.3915,,,,,,,,,,,,,,
,,O,CONTROL_WATER,,control,,,,,,,0,18.015,-0.8247,,,,,,,,,,,,,,
,,NC(=O)N,CONTROL_UREA,,control,,,,,,,0,60.056,-0.9762,,,,,,,,,,,,,,
,,NCC(=O)O,CONTROL_GLYCINE,,control,,,,,,,0,75.067,-0.9702999999999999,,,,,,,,,,,,,,
,,CC(N)C(=O)O,CONTROL_ALANINE,,control,,,,,,,0,89.09399999999998,-0.5817999999999999,,,,,,,,,,,,,,
,,CC(C(=O)N[C@]1(c2ccccc2)CC[C@@H](N2CCN(C(C)C)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CHEMBL296979,5.92,Ki,nM,1200.0,Ki,nM,1200.0,,0,,,,,,,,,,,,,,,,
,,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,CHEMBL6966,6.84,IC50,nM,143.0,IC50,nM,143.0,,0,,,,,,,,,,,,,,,,
,,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,CHEMBL1108,7.49,IC50,nM,32.2,IC50,nM,32.2,,0,,,,,,,,,,,,,,,,
,,CC(C(=O)NC1(c2ccccc2)CCC(N2CCC3(CCCO3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CHEMBL3085129,6.14,Ki,nM,730.0,Ki,nM,730.0,,0,,,,,,,,,,,,,,,,
,,CC(C(=O)NC1(c2ccccc2)CCC(N2CCC3(CC2)CCC(C)(C)O3)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CHEMBL3085132,6.02,Ki,nM,950.0,Ki,nM,950.0,,0,,,,,,,,,,,,,,,,
,,CC(C(=O)N[C@]1(c2ccccc2)CC[C@@H](N2CCC(=O)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CHEMBL431732,5.40,Ki,nM,4000.0,Ki,nM,4000.0,,0,,,,,,,,,,,,,,,,
,,CC(C(=O)NC1(c2ccccc2)CCC(N2CCC(C3CCOC3=O)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CHEMBL3085133,6.31,Ki,nM,490.0,Ki,nM,490.0,,0,,,,,,,,,,,,,,,,
,,CC(C(=O)N[C@]1(c2ccccc2)CC[C@H](N2CCCCC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CHEMBL3085124,5.92,Ki,nM,1200.0,Ki,nM,1200.0,,0,,,,,,,,,,,,,,,,
,,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,CHEMBL1107,6.71,IC50,nM,196.0,IC50,nM,196.0,,0,,,,,,,,,,,,,,,,
,,O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,CHEMBL2368925,5.22,IC50,nM,5950.0,IC50,nM,5950.0,,0,,,,,,,,,,,,,,,,
,,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,CHEMBL133897,6.12,IC50,nM,750.0,IC50,uM,0.75,,0,,,,,,,,,,,,,,,,
,,Cc1ccc(-c2nc(SCC(F)(F)F)n(C(=O)N(C)C)n2)cc1,CHEMBL131320,6.70,IC50,nM,200.0,IC50,uM,0.2,,0,,,,,,,,,,,,,,,,
,,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,CHEMBL336276,6.70,IC50,nM,200.0,IC50,uM,0.2,,0,,,,,,,,,,,,,,,,
,,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,CHEMBL336398,7.00,IC50,nM,100.0,IC50,uM,0.1,,0,,,,,,,,,,,,,,,,
,,CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,CHEMBL338720,6.25,IC50,nM,560.0,IC50,uM,0.56,,0,,,,,,,,,,,,,,,,
,,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,CHEMBL130098,7.00,IC50,nM,100.0,IC50,uM,0.1,,0,,,,,,,,,,,,,,,,
,,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N(C)c1ccccc1,CHEMBL334971,5.96,IC50,nM,1100.0,IC50,uM,1.1,,0,,,,,,,,,,,,,,,,
,,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,CHEMBL130478,6.10,IC50,nM,800.0,IC50,uM,0.8,,0,,,,,,,,,,,,,,,,
,,CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,CHEMBL337714,6.30,IC50,nM,500.0,IC50,uM,0.5,,0,,,,,,,,,,,,,,,,
,,CCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,CHEMBL334395,6.52,IC50,nM,300.0,IC50,uM,0.3,,0,,,,,,,,,,,,,,,,
,,CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1,CHEMBL100454,8.22,Ki,nM,6.0,Ki,nM,6.0,,0,,,,,,,,,,,,,,,,
,,CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)[C@H](C)NC(=O)OC(C)(C)C)C2)cc1,CHEMBL320174,4.22,Ki,nM,60000.0,Ki,nM,60000.0,,0,,,,,,,,,,,,,,,,
,,CC(=O)c1ccc(OCCCN2CC[C@H](N)C2)cc1,CHEMBL319231,4.05,Ki,nM,90000.0,Ki,nM,90000.0,,0,,,,,,,,,,,,,,,,
,,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,CHEMBL715,8.15,Ki,nM,7.0,Ki,nM,7.0,,0,,,,,,,,,,,,,,,,
,,CC(=O)c1ccc(OCCCN2CC[C@H](NS(=O)(=O)c3ccc(C#N)cc3)C2)cc1,CHEMBL102840,4.85,Ki,nM,14000.0,Ki,nM,14000.0,,0,,,,,,,,,,,,,,,,
,,NCCc1c[nH]cn1,CHEMBL90,7.89,EC50,nM,13.0,EC50,nM,13.0,,0,,,,,,,,,,,,,,,,
,,CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)c3csc(-c4cccnc4)n3)C2)cc1,CHEMBL101634,4.96,Ki,nM,11000.0,Ki,nM,11000.0,,0,,,,,,,,,,,,,,,,
,,Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N+](C)([O-])CC1,CHEMBL440512,7.06,Ki,nM,87.0,Ki,nM,87.0,,0,,,,,,,,,,,,,,,,
,,CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)c3cccnc3)C2)cc1,CHEMBL102331,5.13,Ki,nM,7400.0,Ki,nM,7400.0,,0,,,,,,,,,,,,,,,,
,,CC(=O)c1ccc(OCCCN2CC[C@H](N)C2)cc1,CHEMBL319231,4.00,Ki,nM,100000.0,Ki,nM,100000.0,,0,,,,,,,,,,,,,,,,
,,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(C)=O)cc4)cc3)[nH]c2n(CCC)c1=O,CHEMBL17002,6.95,Ki,nM,112.0,Ki,nM,112.0,,0,,,,,,,,,,,,,,,,
,,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccccc4)cc3)[nH]c2n(CCC)c1=O,CHEMBL16677,7.59,Ki,nM,25.8,Ki,nM,25.8,,0,,,,,,,,,,,,,,,,
,,Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,CHEMBL324735,6.42,Ki,nM,381.0,Ki,nM,381.0,,0,,,,,,,,,,,,,,,,
,,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccccc4C(C)=O)cc3)[nH]c2n(CCC)c1=O,CHEMBL17341,6.37,Ki,nM,431.0,Ki,nM,431.0,,0,,,,,,,,,,,,,,,,
,,CC(C)CCn1cc2c(nc(NC(=O)COc3ccccc3)n3nc(-c4ccco4)nc23)n1,CHEMBL435022,7.42,Ki,nM,38.0,Ki,nM,38.0,,0,,,,,,,,,,,,,,,,
,,CC(C)CCn1cc2c(nc(NC(=O)Cc3cccc4ccccc34)n3nc(-c4ccco4)nc23)n1,CHEMBL336217,7.38,Ki,nM,42.0,Ki,nM,42.0,,0,,,,,,,,,,,,,,,,
,,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(N)=O)cc4)cc3)[nH]c2n(CCC)c1=O,CHEMBL275360,7.41,Ki,nM,39.0,Ki,nM,39.0,,0,,,,,,,,,,,,,,,,
,,C=CCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3)[nH]c2n(CC=C)c1=O,CHEMBL16724,5.62,Ki,nM,2370.0,Ki,nM,2370.0,,0,,,,,,,,,,,,,,,,
,,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(F)cc4)cc3)[nH]c2n(CCC)c1=O,CHEMBL16929,7.78,Ki,nM,16.6,Ki,nM,16.6,,0,,,,,,,,,,,,,,,,
,,CCCn1c(=O)c2nc(-c3ccc(/C=C/C(=O)O)cc3)[nH]c2n(CCC)c1=O,CHEMBL16997,6.72,Ki,nM,190.0,Ki,nM,190.0,,0,,,,,,,,,,,,,,,,
,,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(C)=O)cc4)cc3)[nH]c2n(CCC)c1=O,CHEMBL17002,6.64,Ki,nM,230.0,Ki,nM,230.0,,0,,,,,,,,,,,,,,,,
,,CCCn1c(=O)c2nc(-c3ccc(/C=C/C(=O)NN4C(=O)C(C)=C(C)C4=O)cc3)[nH]c2n(CCC)c1=O,CHEMBL17294,7.51,Ki,nM,31.0,Ki,nM,31.0,,0,,,,,,,,,,,,,,,,
,,Cn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,CHEMBL341376,9.09,Ki,nM,0.81,Ki,nM,0.81,,0,,,,,,,,,,,,,,,,
,,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccccc4C(C)=O)cc3)[nH]c2n(CCC)c1=O,CHEMBL17341,7.21,Ki,nM,61.9,Ki,nM,61.9,,0,,,,,,,,,,,,,,,,
,,CCCn1c(=O)n2nc(-c3ccco3)nc2c2cc(Cl)ccc21,CHEMBL97383,5.74,Ki,nM,1813.0,Ki,nM,1813.0,,0,,,,,,,,,,,,,,,,
,,CCCn1c(=O)c2nc(-c3ccc(/C=C/C(=O)Nc4ccccc4C(C)=O)cc3)[nH]c2n(CCC)c1=O,CHEMBL17202,6.92,Ki,nM,121.0,Ki,nM,121.0,,0,,,,,,,,,,,,,,,,
,,CC(C)(C)OC(=O)NCCCC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,CHEMBL100195,7.48,Ki,nM,32.9,Ki,nM,32.9,,0,,,,,,,,,,,,,,,,
,,CCCC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,CHEMBL319971,7.84,Ki,nM,14.6,Ki,nM,14.6,,0,,,,,,,,,,,,,,,,
,,O=C(Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12)c1ccccc1,CHEMBL317382,8.52,Ki,nM,3.03,Ki,nM,3.03,,0,,,,,,,,,,,,,,,,
,,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(F)(F)F)cc4)cc3)[nH]c2n(CCC)c1=O,CHEMBL277386,6.67,Ki,nM,213.0,Ki,nM,213.0,,0,,,,,,,,,,,,,,,,
